Player,1st Place Votes,2nd Place Votes,3rd Place Votes,Total Points,Rank
Giannis Antetokounmpo 19 20,85,16,0,962,1
LeBron James 19 20,16,84,1,753,2
James Harden 19 20,0,1,64,367,3
Luka Doncic 19 20,0,0,14,200,4
Kawhi Leonard 19 20,0,0,9,168,5
Anthony Davis 19 20,0,0,5,82,6
Chris Paul 19 20,0,0,3,26,7
Damian Lillard 19 20,0,0,1,23,8
Nikola Jokic 19 20,0,0,2,18,9
Pascal Siakam 19 20,0,0,2,17,10
Jimmy Butler 19 20,0,0,0,9,11
Jayson Tatum 19 20,0,0,0,1,12
Nikola Jokic 20 21,91,8,1,971,1
Joel Embiid 20 21,1,62,23,586,2
Stephen Curry 20 21,5,23,32,453,3
Giannis Antetokounmpo 20 21,1,5,34,348,4
Chris Paul 20 21,2,2,8,139,5
Luka Doncic 20 21,0,1,0,42,6
Damian Lillard 20 21,0,0,1,38,7
Julius Randle 20 21,0,0,1,20,8
Derrick Rose 20 21,1,0,0,10,9
Rudy Gobert 20 21,0,0,0,8,10
Russell Westbrook 20 21,0,0,1,5,11
Ben Simmons 20 21,0,0,0,3,12
James Harden 20 21,0,0,0,1,13
LeBron James 20 21,0,0,0,1,14
Kawhi Leonard 20 21,0,0,0,1,15
Nikola Jokic 21 22,65,27,6,875,1
Joel Embiid 21 22,26,39,34,706,2
Giannis Antetokounmpo 21 22,9,32,52,595,3
Devin Booker 21 22,0,1,8,216,4
Luka Doncic 21 22,0,1,0,146,5
Jayson Tatum 21 22,0,0,0,43,6
Ja Morant 21 22,0,0,0,10,7
Stephen Curry 21 22,0,0,0,4,8
Chris Paul 21 22,0,0,0,2,9
DeMar DeRozan 21 22,0,0,0,1,10
LeBron James 21 22,0,0,0,1,11
Kevin Durant 21 22,0,0,0,1,12
De'Aaron Fox 22 23,91,1,2,460,1
Jimmy Butler 22 23,1,24,27,104,2
DeMar DeRozan 22 23,0,20,20,80,3
Jalen Brunson 22 23,1,17,21,77,4
Joel Embiid 22 23,1,13,7,51,5
Donovan Mitchell 22 23,1,8,3,32,6
Shai Gilgeous-Alexander 22 23,1,7,5,31,7
Luka Doncic 22 23,1,3,3,17,8
Stephen Curry 22 23,2,1,2,15,9
Jayson Tatum 22 23,0,2,4,10,10
Damian Lillard 22 23,0,3,1,10,11
Kyrie Irving 22 23,1,0,2,7,12
Nikola Jokic 22 23,0,1,2,5,13
Julius Randle 22 23,0,0,1,1,14
Nikola Jokic 23 24,18,2,2,194,1
Shai Gilgeous-Alexander 23 24,4,4,7,106,2
Luka Doncic 23 24,1,7,6,89,3
Giannis Antetokounmpo 23 24,0,0,1,32,4
Jalen Brunson 23 24,0,0,0,13,5
Jayson Tatum 23 24,0,0,0,9,6